director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Eric Demeusy,Ryan Masson,Highdee Kuan,Christian Prentice,Science Fiction Drama,proximity,Ryan Masson Highdee Kuan Christian Prentice Eric Demeusy Science Fiction Drama
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,Thriller Crime Drama Action,blood and money,Tom Berenger Kristen Hager Mark Sivertsen John Barr Thriller Crime Drama Action
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror Thriller Mystery,body cam,Mary J. Blige Nat Wolff David Zayas Malik Vitthal Horror Thriller Mystery
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Comedy Action Romance,the lovebirds,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Comedy Action Romance
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Drama Mystery Thriller,inheritance,Lily Collins Simon Pegg Chace Crawford Vaughn Stein Drama Mystery Thriller
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance Comedy Music Drama,the high note,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra Romance Comedy Music Drama
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,History Drama,shirley,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker History Drama
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action Crime Thriller,the last days of american crime,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton Action Crime Thriller
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Thriller Horror Action,becky,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion Thriller Horror Action"
Sean McNamara,Janel Parrish,Alexa PenaVega,Carlos PenaVega,Comedy Drama,mighty oak,Janel Parrish Alexa PenaVega Carlos PenaVega Sean McNamara Comedy Drama
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War Drama,da 5 bloods,Delroy Lindo Jonathan Majors Clarke Peters Spike Lee War Drama
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,artemis fowl,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure Fantasy Science Fiction Family Action
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy Drama,the king of staten island,Pete Davidson Marisa Tomei Bill Burr Judd Apatow Comedy Drama
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews Action
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama History Thriller,wasp network,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas Drama History Thriller
Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,Comedy Music Drama,feel the beat,Elissa Down (director); Sofia Carson Enrico Colantoni Wolfgang Novogratz Elissa Down Comedy Music Drama
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy Music,eurovision song contest: the story of fire saga,Will Ferrell Rachel McAdams Dan Stevens David Dobkin Comedy Music
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy Drama,irresistible,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart Comedy Drama
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,my spy,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family Action Comedy
Daniel Chong,Eric Edelstein,Bobby Moynihan,Demetri Martin,Animation Adventure Family Comedy TV Movie,we bare bears: the movie,Eric Edelstein Bobby Moynihan Demetri Martin Daniel Chong Animation Adventure Family Comedy TV Movie
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,History Drama,hamilton,Thomas Kail (director); Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Thomas Kail History Drama
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror Mystery,relic,Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James Horror Mystery
LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy Romance,desperados,Anna Camp Robbie Amell Nasim Pedrad LP Comedy Romance
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,the old guard,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action Fantasy
Andrew Lawrence,Adam Copeland,Kelsey Grammer,Thomas Jane,Action Crime Thriller,money plane,Adam Copeland Kelsey Grammer Thomas Jane Andrew Lawrence Action Crime Thriller
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,greyhound,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War Action Drama
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy Romance Science Fiction,palm springs,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow Comedy Romance Science Fiction
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,fatal affair,Nia Long Omar Epps Stephen Bishop Peter Sullivan Thriller
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Thriller Action Crime,the silencing,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Thriller Action Crime
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Comedy Romance,a nice girl like you,Lucy Hale Leonidas Gulaptis Jackie Cruz The Brothers Riedell Comedy Romance
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Horror Thriller War Science Fiction,ghosts of war,Brenton Thwaites Theo Rossi Skylar Astin Eric Bress Horror Thriller War Science Fiction
Scott Christian Sava (director/screenplay); Tony Bancroft,John Krasinski,Emily Blunt,Ian McKellen,Comedy Animation Adventure Family,animal crackers,John Krasinski Emily Blunt Ian McKellen Scott Christian Sava (director/screenplay); Tony Bancroft Comedy Animation Adventure Family
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy Romance,the kissing booth 2,Joey King Joel Courtney Jacob Elordi Vince Marcello Comedy Romance
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror Mystery Thriller,the rental,Dan Stevens Alison Brie Sheila Vand Dave Franco Horror Mystery Thriller
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,Drama Romance,the secret: dare to dream,Katie Holmes Josh Lucas Jerry O'Connell Andy Tennant Drama Romance
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama Romance,summerland,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale Drama Romance
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow,Kate Lyn Sheil Jane Adams Kentucker Audley Amy Seimetz Drama
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action Crime Drama,the tax collector,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer Action Crime Drama
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,Drama History,waiting for the barbarians,Mark Rylance Johnny Depp Robert Pattinson Ciro Guerra Drama History
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action Crime Science Fiction,project power,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman Action Crime Science Fiction"
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Family Fantasy Comedy,magic camp,Adam DeVine Gillian Jacobs Jeffrey Tambor Mark Waters Family Fantasy Comedy
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Comedy Crime Horror,spree,Joe Keery Sasheer Zamata Mischa Barton Eugene Kotlyarenko Comedy Crime Horror
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Family Comedy Drama,the one and only ivan,Sam Rockwell Angelina Jolie Danny DeVito Thea Sharrock Family Comedy Drama
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action Thriller Horror,unhinged,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte Action Thriller Horror
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,History Drama,tesla,Ethan Hawke Eve Hewson Ebon Moss-Bachrach Michael Almereyda History Drama
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action Crime Drama Thriller,cut throat city,Shameik Moore T.I. Demetrius Shipp Jr. RZA Action Crime Drama Thriller
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,Drama Romance,words on bathroom walls,Charlie Plummer Andy García Taylor Russell Thor Freudenthal Drama Romance
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Comedy Science Fiction Adventure,bill & ted face the music,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot Comedy Science Fiction Adventure
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Science Fiction Horror Action,the new mutants,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone Science Fiction Horror Action
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Comedy,the personal history of david copperfield,Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci Comedy
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Drama Fantasy Mystery Thriller,i'm thinking of ending things,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman Drama Fantasy Mystery Thriller
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Family Animation Science Fiction Comedy,phineas and ferb the movie: candace against the universe,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen Family Animation Science Fiction Comedy
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Drama,all together now,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley Drama
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller,centigrade,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh Thriller
Marco Pontecorvo,Joaquim de Almeida,Goran Višnjić,Stephanie Gil,Drama,fatima,Joaquim de Almeida Goran Višnjić Stephanie Gil Marco Pontecorvo Drama
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action Thriller Science Fiction,tenet,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan Action Thriller Science Fiction
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,Animation Family Adventure,mulan,Liu Yifei Donnie Yen Tzi Ma Niki Caro Animation Family Adventure
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,critical thinking,John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo Drama
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,Horror Mystery Thriller,the owners,Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg Horror Mystery Thriller
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,Comedy,guest house,Pauly Shore Mike Castle Aimee Teegarden Sam Macaroni Comedy
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,Comedy Horror,the babysitter: killer queen,Judah Lewis Emily Alyn Lind Jenna Ortega McG Comedy Horror
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,Drama Comedy,unpregnant,Haley Lu Richardson Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg Drama Comedy
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,Crime Drama Thriller,the devil all the time,Tom Holland Bill Skarsgård Riley Keough Antonio Campos Crime Drama Thriller
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Comedy Romance,the broken hearts gallery,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky Comedy Romance
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,Romance Drama Comedy,i met a girl,Brenton Thwaites Lily Sullivan Joel Jackson Luke Eve Romance Drama Comedy
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Horror Thriller,rent-a-pal,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson Horror Thriller
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,Thriller History Drama,the secrets we keep,Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler Thriller History Drama
"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,Horror,antebellum,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe Horror"
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Thriller Science Fiction Horror,the nest,Jude Law Carrie Coon Charlie Shotwell Sean Durkin Thriller Science Fiction Horror
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Drama,blackbird,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell Drama
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Drama,lost girls & love hotels,Alexandra Daddario Takehiro Hira Carice van Houten William Olsson Drama
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,Drama Music,killian & the comeback kids,Taylor A. Purdee John Donchak Nathan Purdee Taylor A. Purdee Drama Music
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,Adventure Mystery Crime,enola holmes,Millie Bobby Brown Henry Cavill Sam Claflin Harry Bradbeer Adventure Mystery Crime
Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,Drama History,the trial of the chicago 7,Yahya Abdul-Mateen II Sacha Baron Cohen Danny Flaherty Aaron Sorkin Drama History
Tate Taylor,Jessica Chastain,John Malkovich,Common,Drama,ava,Jessica Chastain John Malkovich Common Tate Taylor Drama
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,Crime Drama Comedy,kajillionaire,Evan Rachel Wood Richard Jenkins Debra Winger Miranda July Crime Drama Comedy
Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,Comedy Drama,the last shift,Richard Jenkins Shane Paul McGhie Da'Vine Joy Randolph Andrew Cohn Comedy Drama
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,Action Adventure Comedy Fantasy,secret society of second-born royals,Peyton Elizabeth Lee Skylar Astin Élodie Yung Anna Mastro Action Adventure Comedy Fantasy
Marc Carlini,Tommy Dewey,François Arnaud,Minka Kelly,Drama,she's in portland,Tommy Dewey François Arnaud Minka Kelly Marc Carlini Drama
Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,the boys in the band,Jim Parsons Zachary Quinto Matt Bomer Joe Mantello Drama
Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,Drama,the glorias,Julianne Moore Alicia Vikander Timothy Hutton Julie Taymor Drama
Sofia Coppola,Rashida Jones,Bill Murray,Marlon Wayans,Drama Comedy,on the rocks,Rashida Jones Bill Murray Marlon Wayans Sofia Coppola Drama Comedy
Brian Duffield,Katherine Langford,Charlie Plummer,Hayley Law,Comedy Horror,spontaneous,Katherine Langford Charlie Plummer Hayley Law Brian Duffield Comedy Horror
Osmany Rodriguez,Jaden Michael,Gerald W. Jones III,Gregory Diaz IV,Comedy Horror,vampires vs. the bronx,Jaden Michael Gerald W. Jones III Gregory Diaz IV Osmany Rodriguez Comedy Horror
Brandon Cronenberg,Andrea Riseborough,Christopher Abbott,Rossif Sutherland,Horror Thriller Science Fiction,possessor,Andrea Riseborough Christopher Abbott Rossif Sutherland Brandon Cronenberg Horror Thriller Science Fiction
Darren Lynn Bousman,Maggie Q,Alex Essoe,Luke Hemsworth,Horror Mystery,death of me,Maggie Q Alex Essoe Luke Hemsworth Darren Lynn Bousman Horror Mystery
Mike Elliott,Madison Pettis,Lizze Broadway,Piper Curda,Comedy,american pie presents: girls' rules,Madison Pettis Lizze Broadway Piper Curda Mike Elliott Comedy
Veena Sud,Mireille Enos,Peter Sarsgaard,Joey King,Horror Mystery Thriller,the lie,Mireille Enos Peter Sarsgaard Joey King Veena Sud Horror Mystery Thriller
Steven Brill,Adam Sandler,Kevin James,Julie Bowen,Comedy Mystery Horror,hubie halloween,Adam Sandler Kevin James Julie Bowen Steven Brill Comedy Mystery Horror
Brannon Braga,Britt Robertson,Anna Friel,Rafi Gavron,Horror Science Fiction,books of blood,Britt Robertson Anna Friel Rafi Gavron Brannon Braga Horror Science Fiction
Angel Manuel Soto,Jahi Di'Allo Winston,Meek Mill,Will Catlett,Drama,charm city kings,Jahi Di'Allo Winston Meek Mill Will Catlett Angel Manuel Soto Drama
Tim Hill,Robert De Niro,Uma Thurman,Rob Riggle,Comedy Family,the war with grandpa,Robert De Niro Uma Thurman Rob Riggle Tim Hill Comedy Family
Woody Allen,Timothée Chalamet,Elle Fanning,Selena Gomez,Comedy Romance,a rainy day in new york,Timothée Chalamet Elle Fanning Selena Gomez Woody Allen Comedy Romance
Diane Paragas,Eva Noblezada,Dale Watson,Princess Punzalan,Drama Music,yellow rose,Eva Noblezada Dale Watson Princess Punzalan Diane Paragas Drama Music
Radha Blank,Radha Blank,Peter Kim,Oswin Benjamin,Comedy Romance,the 40-year-old version,Radha Blank Peter Kim Oswin Benjamin Radha Blank Comedy Romance
Zu Quirke,Sydney Sweeney,Madison Iseman,Jacques Colimon,Horror Mystery Thriller,nocturne,Sydney Sweeney Madison Iseman Jacques Colimon Zu Quirke Horror Mystery Thriller
"Elan Dassani, Rajeev Dassani",Sarita Choudhury,Sunita Mani,Omar Maskati,Mystery Thriller Horror,evil eye,"Sarita Choudhury Sunita Mani Omar Maskati Elan Dassani, Rajeev Dassani Mystery Thriller Horror"
Rachel Talalay,Tamara Smart,Oona Laurence,Tom Felton,Family Fantasy Adventure Comedy,a babysitter's guide to monster hunting,Tamara Smart Oona Laurence Tom Felton Rachel Talalay Family Fantasy Adventure Comedy
Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,Comedy Action Adventure,love and monsters,Dylan O'Brien Jessica Henwick Dan Ewing Michael Matthews Comedy Action Adventure
Mark Williams,Liam Neeson,Kate Walsh,Robert Patrick,Thriller Action Crime,honest thief,Liam Neeson Kate Walsh Robert Patrick Mark Williams Thriller Action Crime
Justin Baldoni,Fin Argus,Sabrina Carpenter,Madison Iseman,Music Drama Romance,clouds,Fin Argus Sabrina Carpenter Madison Iseman Justin Baldoni Music Drama Romance
Edward James Olmos,David Strathairn,Kate Bosworth,Pablo Schreiber,Drama Comedy Thriller,the devil has a name,David Strathairn Kate Bosworth Pablo Schreiber Edward James Olmos Drama Comedy Thriller
Evan Morgan,Adam Brody,Sophie Nélisse,Tzi Ma,Comedy Drama Mystery,the kid detective,Adam Brody Sophie Nélisse Tzi Ma Evan Morgan Comedy Drama Mystery
Johnny Martin,Tyler Posey,Summer Spiro,Robert Ri'chard,Thriller Horror,alone,Tyler Posey Summer Spiro Robert Ri'chard Johnny Martin Thriller Horror
Lance Hool,Jacob Elordi,Adan Canto,Tiera Skovbye,Romance Drama,2 hearts,Jacob Elordi Adan Canto Tiera Skovbye Lance Hool Romance Drama
Steve Byrne,Jimmy O. Yang,Alex Moffat,Cedric the Entertainer,Comedy,the opening act,Jimmy O. Yang Alex Moffat Cedric the Entertainer Steve Byrne Comedy
Robert Zemeckis,Anne Hathaway,Octavia Spencer,Stanley Tucci,Fantasy Family Horror,the witches,Anne Hathaway Octavia Spencer Stanley Tucci Robert Zemeckis Fantasy Family Horror
Glen Keane,Cathy Ang,Phillipa Soo,Ken Jeong,Animation Adventure Family Fantasy,over the moon,Cathy Ang Phillipa Soo Ken Jeong Glen Keane Animation Adventure Family Fantasy
Roger Kumble,Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse,Romance Drama,after we collided,Josephine Langford Hero Fiennes Tiffin Dylan Sprouse Roger Kumble Romance Drama
David Prior,James Badge Dale,Marin Ireland,Stephen Root,Horror Mystery Thriller,the empty man,James Badge Dale Marin Ireland Stephen Root David Prior Horror Mystery Thriller
Justin Simien,Elle Lorraine,Vanessa Williams,Jay Pharoah,Horror Comedy,bad hair,Elle Lorraine Vanessa Williams Jay Pharoah Justin Simien Horror Comedy
Nicol Paone,Malin Åkerman,Kat Dennings,Aisha Tyler,Comedy,friendsgiving,Malin Åkerman Kat Dennings Aisha Tyler Nicol Paone Comedy
Zoe Lister-Jones,Cailee Spaeny,Gideon Adlon,Lovie Simone,Horror Drama Fantasy,the craft: legacy,Cailee Spaeny Gideon Adlon Lovie Simone Zoe Lister-Jones Horror Drama Fantasy
John Whitesell,Emma Roberts,Luke Bracey,Kristin Chenoweth,Comedy Romance,holidate,Emma Roberts Luke Bracey Kristin Chenoweth John Whitesell Comedy Romance
Jacob Chase,Gillian Jacobs,John Gallagher Jr.,Azhy Robertson,Horror Mystery Thriller,come play,Gillian Jacobs John Gallagher Jr. Azhy Robertson Jacob Chase Horror Mystery Thriller
Terry Ross,Terry Ross (director); F. Scott Mudgett (screenplay),Honey Lauren,John Salandria,Fantasy Horror Thriller,sweet taste of souls,Terry Ross (director); F. Scott Mudgett (screenplay) Honey Lauren John Salandria Terry Ross Fantasy Horror Thriller
Max Winkler,Charlie Hunnam,Jack O'Connell,Jessica Barden,Drama,jungleland,Charlie Hunnam Jack O'Connell Jessica Barden Max Winkler Drama
Thomas Bezucha,Diane Lane,Kevin Costner,Lesley Manville,Thriller Crime Western,let him go,Diane Lane Kevin Costner Lesley Manville Thomas Bezucha Thriller Crime Western
Andrea Di Stefano,Joel Kinnaman,Rosamund Pike,Common,Drama Crime Thriller,the informer,Joel Kinnaman Rosamund Pike Common Andrea Di Stefano Drama Crime Thriller
Bryan Bertino,Marin Ireland,Michael Abbott Jr.,Xander Berkeley,Horror Drama Mystery,the dark and the wicked,Marin Ireland Michael Abbott Jr. Xander Berkeley Bryan Bertino Horror Drama Mystery
Ron Howard,Amy Adams,Glenn Close,Gabriel Basso,Drama,hillbilly elegy,Amy Adams Glenn Close Gabriel Basso Ron Howard Drama
Jeff Daniels,Jeff Daniels (director); Nicholas Meyer,Stephanie Austen,Ted Koppel,Documentary,television event,Jeff Daniels (director); Nicholas Meyer Stephanie Austen Ted Koppel Jeff Daniels Documentary
David Fincher,Gary Oldman,Amanda Seyfried,Lily Collins,Drama History,mank,Gary Oldman Amanda Seyfried Lily Collins David Fincher Drama History
Christopher Landon,Vince Vaughn,Kathryn Newton,Katie Finneran,Comedy Horror,freaky,Vince Vaughn Kathryn Newton Katie Finneran Christopher Landon Comedy Horror
David E. Talbert,Forest Whitaker,Keegan-Michael Key,Hugh Bonneville,Family Fantasy Music,jingle jangle: a christmas journey,Forest Whitaker Keegan-Michael Key Hugh Bonneville David E. Talbert Family Fantasy Music
Miles Joris-Peyrafitte,Finn Cole,Margot Robbie,Travis Fimmel,Drama Thriller,dreamland,Finn Cole Margot Robbie Travis Fimmel Miles Joris-Peyrafitte Drama Thriller
"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,Action Comedy Fantasy,fatman,"Mel Gibson Walton Goggins Marianne Jean-Baptiste Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste Action Comedy Fantasy"
Edoardo Ponti,Sophia Loren,Ibrahima Gueye,Abril Zamora,Drama,the life ahead,Sophia Loren Ibrahima Gueye Abril Zamora Edoardo Ponti Drama
Michael Angelo Covino,Kyle Marvin,Michael Angelo Covino,Gayle Rankin,Comedy,the climb,Kyle Marvin Michael Angelo Covino Gayle Rankin Michael Angelo Covino Comedy
Paul Leyden,Malin Åkerman,Bella Thorne,Fortune Feimster,Action Comedy Drama,chick fight,Malin Åkerman Bella Thorne Fortune Feimster Paul Leyden Action Comedy Drama
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Family Romance Comedy TV Movie,the princess switch: switched again,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl Family Romance Comedy TV Movie
Aneesh Chaganty,Sarah Paulson,Kiera Allen,Pat Healy,Thriller Horror Drama,run,Sarah Paulson Kiera Allen Pat Healy Aneesh Chaganty Thriller Horror Drama
Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Drama Music,sound of metal,Riz Ahmed Olivia Cooke Paul Raci Darius Marder Drama Music
Dimitri Logothetis,Alain Moussi,Frank Grillo,JuJu Chan,Action Science Fiction Fantasy,jiu jitsu,Alain Moussi Frank Grillo JuJu Chan Dimitri Logothetis Action Science Fiction Fantasy
Josh Duhamel,Josh Duhamel,Dax Shepard,Olivia Munn,Comedy,buddy games,Josh Duhamel Dax Shepard Olivia Munn Josh Duhamel Comedy
Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,Animation Family Adventure Fantasy Comedy,the croods: a new age,Nicolas Cage Emma Stone Ryan Reynolds Joel Crawford Animation Family Adventure Fantasy Comedy
Clea DuVall,Kristen Stewart,Mackenzie Davis,Alison Brie,Romance Comedy,happiest season,Kristen Stewart Mackenzie Davis Alison Brie Clea DuVall Romance Comedy
George C. Wolfe,Viola Davis,Chadwick Boseman,Glynn Turman,Drama Music,ma rainey's black bottom,Viola Davis Chadwick Boseman Glynn Turman George C. Wolfe Drama Music
Chris Columbus,Kurt Russell,Goldie Hawn,Darby Camp,Family Fantasy Adventure Comedy,the christmas chronicles 2,Kurt Russell Goldie Hawn Darby Camp Chris Columbus Family Fantasy Adventure Comedy
Alan Ball,Paul Bettany,Sophia Lillis,Peter Macdissi,Drama,uncle frank,Paul Bettany Sophia Lillis Peter Macdissi Alan Ball Drama
Taylor Swift,Taylor Swift,Jack Antonoff,Aaron Dessner,Music Documentary,folklore: the long pond studio sessions,Taylor Swift Jack Antonoff Aaron Dessner Taylor Swift Music Documentary
Ben Falcone,Melissa McCarthy,Bobby Cannavale,Brian Tyree Henry,Comedy Science Fiction Romance,superintelligence,Melissa McCarthy Bobby Cannavale Brian Tyree Henry Ben Falcone Comedy Science Fiction Romance
Ashley Avis,Mackenzie Foy,Kate Winslet,Claire Forlani,Drama,black beauty,Mackenzie Foy Kate Winslet Claire Forlani Ashley Avis Drama
Ryan Murphy,Meryl Streep,James Corden,Jo Ellen Pellman,Romance Comedy,the prom,Meryl Streep James Corden Jo Ellen Pellman Ryan Murphy Romance Comedy
Marc Meyers,Jessica Rothe,Harry Shum Jr.,Kyle Allen,Romance Drama,all my life,Jessica Rothe Harry Shum Jr. Kyle Allen Marc Meyers Romance Drama
Sharon Maguire,Isla Fisher,Jillian Bell,Santiago Cabrera,Family Fantasy Comedy,godmothered,Isla Fisher Jillian Bell Santiago Cabrera Sharon Maguire Family Fantasy Comedy
April Mullen,Aaron Eckhart,Katheryn Winnick,Heather Graham,Thriller Crime Mystery,wander,Aaron Eckhart Katheryn Winnick Heather Graham April Mullen Thriller Crime Mystery
Lawrence Michael Levine,Aubrey Plaza,Christopher Abbott,Sarah Gadon,Drama Thriller,black bear,Aubrey Plaza Christopher Abbott Sarah Gadon Lawrence Michael Levine Drama Thriller
Steven Soderbergh,Meryl Streep,Candice Bergen,Gemma Chan,Comedy Drama,let them all talk,Meryl Streep Candice Bergen Gemma Chan Steven Soderbergh Comedy Drama
